9571991,19980401,article,mesh,"Animals,Biotransformation,Carcinogens,Cell Death,Cell Separation,Cells, Cultured,Chloroform,Cytochrome P-450 Enzyme Inhibitors,Dithiothreitol,Glutathione,Imidazoles,Liver,Male,Mice,Oxidative Stress,Rats,Rats, Inbred F344,Solvents,Sulfhydryl Reagents","analysis,drug effects,pathology,pharmacology,toxicity","D008099 Q000187 NY,D008099 Q000473 NN,D007093 Q000494 NN,D002273 Q000633 NY,D016923 Q000187 NN,D002725 Q000633 NY,D012997 Q000633 NN,D005978 Q000032 NN","6212,19001,81595,124886,439196,446094",NULL,Chloroform-induced cytolethality in freshly isolated male B6C3F1 mouse and F-344 rat hepatocytes.,Chloroform is carcinogenic in rodents but is not mutagenic or DNA reactive. Chloroform-induced hepatocarcinogenesis in rodents is believed to be secondary to events associated with cytotoxicity and cell proliferation. Understanding the mechanisms of chloroform toxicity may provide insights into the mechanisms of carcinogenicity. The goal of these studies was to characterize the cytotoxicity of chloroform in male B6C3F1 mouse and F-344 rat hepatocytes in vitro. We used an in vitro suspension-culture system t,Toxicology and applied pharmacology,"P Ammann, C L Laethem, G L Kedderis"," Chemical Industry Institute of Toxicology, Research Triangle Park, North Carolina 27709-2137, USA.",1998 Apr;149(2):217-25,10.1006/taap.1997.8351
12020598,20020601,article,"xref,mesh","Animals,Antimutagenic Agents,Calendula,Cells, Cultured,DNA,Diethylnitrosamine,Dose-Response Relationship, Drug,Flowers,Hepatocytes,Male,Mutagens,Plant Extracts,Rats,Rats, Wistar","biosynthesis,chemistry,drug effects,metabolism,pathology,pharmacology,toxicity","D035264 Q000737 NN,D004247 Q000096 NN,D022781 Q000378 NN,D004247 Q000187 NN,D016587 Q000494 NY,D016587 Q000737 NN,D022781 Q000187 NY,D020838 Q000737 YN,D022781 Q000473 NN,D010936 Q000633 NY,D009153 Q000633 NY,D004052 Q000633 NN","679,702,5921,6212,44135672","128047904,128141778,128482492,129557820",Genotoxic and anti-genotoxic properties of Calendula officinalis extracts in rat liver cell cultures treated with diethylnitrosamine.,"Calendula officinalis flower extracts are used to cure inflammatory and infectious diseases, for wound healing and even cancer with partial objective evidence of its therapeutic properties or toxic effects, many of which can be attributed to the presence of flavonols. We studied whether C. officinalis extracts induce unscheduled DNA synthesis (UDS) in rat liver cell cultures, and if these extracts can reverse diethylnitrosamine (DEN)-induced UDS. Four different flower extracts were prepared: aqueous (AE), a",Toxicology in vitro : an international journal published in association with BIBRA,"J I Pérez-Carreón, G Cruz-Jiménez, J A Licea-Vega, E Arce Popoca, S Fattel Fazenda, S Villa-Treviño"," Departamento de Biología Celular, Centro de Investigación y de Estudios Avanzados del IPN, Apartado Postal 14-740, México D.F. 07000, Mexico.",2002 Jun;16(3):253-8,10.1016/s0887-2333(02)00005-x
12020926,20020601,article,"xref,mesh","Acetic Acid,Analgesics,Animals,Anti-Bacterial Agents,Anti-Inflammatory Agents,Carrageenan,Chloroform,Diffusion,Disease Models, Animal,Edema,Ethanol,Female,Gram-Negative Bacteria,Gram-Positive Bacteria,Inflammation,Male,Mice,Pain,Phytotherapy,Plant Components, Aerial,Plant Extracts,Sideritis","chemically induced,drug effects,drug therapy,pharmacology,therapeutic use","D006094 Q000187 NN,D006090 Q000187 NN,D010146 Q000188 NY,D000900 Q000494 NN,D007249 Q000139 NN,D004487 Q000188 NN,D010936 Q000627 NY,D000700 Q000627 NY,D000900 Q000627 NN,D002351 Q000494 NN,D010146 Q000139 NN,D007249 Q000188 NY,D019342 Q000494 NN,D000893 Q000627 NY","176,702,6212,11966249","128047904,128482492,129071275",Evaluation of the antinflammatory and analgesic activity of Sideritis canariensis var. pannosa in mice.,"A previous chemical study of Sideritis canariensis var. pannosa demonstrated the presence of some important classes of related organic compounds with anti-inflammatory activities. In the present study, the crude ethanol extract and the chloroformic and aqueous fractions of S. canariensis have been examined for their antimicrobial actions through the disk-diffusion method and for their anti-inflammatory and analgesic effects in several animal models. No relevant antimicrobial activity against the tested micr",Journal of ethnopharmacology,"Margarita Hernández-Pérez, Rosa M Rabanal"," Departamento de Enfermería, E.U. de Enfermería y Fisioterapia, Universidad de La Laguna, C/Campus de Ofra, s/n, 38071, La Laguna, Tenerife, Spain. maherpe@ull.es",2002 Jun;81(1):43-7,10.1016/s0378-8741(02)00033-8
12084067,20020701,article,"xref,mesh","Amino Acid Sequence,Binding Sites,DNA Repair Enzymes,DNA-Binding Proteins,Gene Products, vpr,Leucine,Magnetic Resonance Spectroscopy,Micelles,Models, Molecular,Molecular Sequence Data,Peptide Fragments,Protein Conformation,Solutions","chemistry,metabolism","D010446 Q000737 NY,D007930 Q000737 NN,D016336 Q000378 NN,D004268 Q000378 NN,D010446 Q000378 NN,D016336 Q000737 NY","6106,6409","129130686,129158112",Structure of human immunodeficiency virus type 1 Vpr(34-51) peptide in micelle containing aqueous solution.,"Human immunodeficiency virus type 1 protein R (HIV-1 Vpr) promotes nuclear entry of viral nucleic acids in nondividing cells, causes G(2) cell cycle arrest and is involved in cellular differentiation and cell death. Vpr subcellular localization is as variable as its functions. It is known, that consistent with its role in nuclear transport, Vpr localizes to the nuclear envelope of human cells. Further, a reported ion channel activity of Vpr is clearly dependent on its localization in or at membranes. We foc",European journal of biochemistry,"Andrea Engler, Thomas Stangler, Dieter Willbold"," Lehrstuhl für Biopolymere, Universität Bayreuth, Germany.",2002 Jul;269(13):3264-9,10.1046/j.1432-1033.2002.03005.x
12195830,20020801,article,"xref,mesh","Administration, Topical,Animals,Biological Assay,Croton Oil,Dermatologic Agents,Flavonoids,Glycosides,Inflammation,Lamiaceae,Male,Mice,Oleanolic Acid,Plant Extracts,Triterpenes","administration &amp; dosage,chemistry,drug therapy,isolation &amp; purification,pharmacology","D003879 Q000494 NN,D006027 Q000302 NN,D009828 Q000494 NN,D005419 Q000302 NN,D009828 Q000302 NN,D014315 Q000302 NN,D019686 Q000737 NY,D010936 Q000494 NY,D007249 Q000188 NY,D014315 Q000494 NN,D006027 Q000494 NN,D005419 Q000494 NN,D010936 Q000008 NN,D003436 Q000494 NN","899,6212,10494,64945,440735,442662,5280445,7163177,15372481,101710279","127486637,128047904,128206177,128600272,135777847,135820665,248619050",Topical anti-inflammatory activity of extracts and compounds from Thymus broussonettii.,"The topical anti-inflammatory activity of four extracts from Thymus broussonetii Boiss (Labiatae) leaves, a herbal drug used in Moroccan traditional medicine, has been studied using the croton oil ear test in mice. A bioassay-oriented fractionation revealed that the pharmacological activity is mainly in the chloroform extract. Fractionation and analysis of this extract allowed the identification of ursolic acid and oleanolic acid as the main anti-inflammatory principles. Some flavonoids (luteolin, eriodicty",The Journal of pharmacy and pharmacology,"H Ismaili, S Sosa, D Brkic, S Fkih-Tetouani, A Ilidrissi, D Touati, R P Aquino, A Tubaro"," Faculté de Mèdecine et Pharmacie, Université Mohammed V, B.P. 1014 Rabat, Morocco.",2002 Aug;54(8):1137-40,10.1211/002235702320266316
12203227,20020801,article,mesh,"Animals,Apoptosis,Cell Extracts,Dexamethasone,Drug Resistance, Neoplasm,Magnetic Resonance Spectroscopy,Mice,Oxidative Stress,Phosphates,Phosphorus Isotopes,Species Specificity,Thymoma,Thymus Neoplasms,Tumor Cells, Cultured","analysis,chemistry,drug effects,drug therapy,metabolism,methods,pharmacology","D009682 Q000379 NY,D013945 Q000378 NY,D013945 Q000188 NN,D017209 Q000187 NY,D018384 Q000187 NN,D003907 Q000494 NY,D002457 Q000737 NN,D013953 Q000188 NN,D010710 Q000378 NY,D013953 Q000378 NY,D010710 Q000032 NN","1061,5743",NULL,Changes in phosphate metabolism in thymoma cells suggest mechanisms for resistance to dexamethasone-induced apoptosis. A 31P NMR spectroscopic study of cell extracts.,"Treatment of the mouse thymoma-derived WEHI7.2 cell line with dexamethasone, a synthetic glucocorticoid, causes the cells to undergo apoptosis. Previous studies have shown that WEHI7.2 cell variants with an increased antioxidant defense exhibit increased resistance to dexamethasone-induced apoptosis, suggesting that oxidative stress may play a role in glucocorticoid-induced apoptosis. In this work we compared metabolic profiles of WEHI7.2 parental cells with those of WEHI7.2 variants with an increased antio",NMR in biomedicine,"N W Lutz, M E Tome, N R Aiken, M M Briehl"," Arizona Cancer Center, PO Box 245024, University of Arizona, Tucson, AZ 85724, USA.",2002 Aug;15(5):356-66,10.1002/nbm.790
12357754,20020921,article,xref,NULL,NULL,NULL,"6212,62324","128047904,129205864",Sidewall functionalization of single-walled carbon nanotubes through electrophilic addition.,"Electrophilic addition of chloroform to SWNTs followed by hydrolysis resulted in the addition of hydroxy groups to the surface of the nanotubes; further esterification with propionyl chloride led to the corresponding ester derivatives, which allowed us to identify their structure, also providing better solubility in organic solvents. ","Chemical communications (Cambridge, England)","Nikos Tagmatarchis, Vasilios Georgakilas, Maurizio Prato, Hisanori Shinohara"," Nagoya University, Department of Chemistry, Nagoya 464-8602, Japan.",2002 Sep;?(18):2010-1,10.1039/b204366a
12393293,20021202,article,"xref,mesh","Animals,Apoptosis,Body Weight,Carcinogens,Cell Division,Connexin 26,Connexins,Dose-Response Relationship, Drug,Down-Regulation,Female,Gap Junctions,Hepatocytes,Immunohistochemistry,Kidney,Liver,Male,Methapyrilene,Pyrimidines,Rats,Rats, Inbred F344,Time Factors","drug effects,metabolism,pathology,pharmacology,toxicity,ultrastructure","D008099 Q000473 NN,D002455 Q000187 NN,D017209 Q000187 NY,D001835 Q000187 NN,D011743 Q000494 NN,D015536 Q000187 NN,D017630 Q000378 NN,D007668 Q000473 NN,D002273 Q000633 NY,D008701 Q000494 NN,D017629 Q000187 NY,D022781 Q000187 NN,D017629 Q000648 NN","4098,4685,5694,6212,8370,15625,22311,440917","127636555,128047904,128058739,128085647,128788649,129311900,129709126,129709128","Non-genotoxic carcinogens: early effects on gap junctions, cell proliferation and apoptosis in the rat.",Non-genotoxic carcinogens are thought to induce tumour formation by disturbing the balance between cell growth and cell death. Gap junctions (GJ) contribute to the maintenance of tissue homeostasis by allowing the intercellular exchange of growth regulatory signals and potential inhibition of GJ intercellular communication through loss of connexin (Cx) plaques has been shown to be involved in the cancer process. We have investigated the time- and dose-dependent effects of the non-genotoxic hepatocarcinogens,Toxicology,"Angela Mally, James Kevin Chipman"," School of Biosciences, The University of Birmingham, Edgbaston, B15 2TT, Birmingham, UK.",2002 Dec;180(3):233-48,10.1016/s0300-483x(02)00393-1
12482456,20030101,article,xref,"Antineoplastic Agents, Phytogenic,Cell Death,Humans,Male,Molecular Structure,Plant Shoots,Triterpenes,Tumor Cells, Cultured,Ulmaceae","analysis,chemistry,drug effects,pharmacology","D016923 Q000187 NY,D014315 Q000032 NY,D000972 Q000737 NN,D000972 Q000494 NY,D034401 Q000737 NY,D014315 Q000494 NY,D018520 Q000737 NY,D014315 Q000737 NN,D000972 Q000032 NY","64945,72326,91212452","127907192,135777847,246412469",Cytotoxic triterpenes from the twigs of Celtis philippinensis.,"Two triterpene esters, 3beta-trans-sinapoyloxylup-20(29)-en-28-ol (1) and 3beta-trans-feruloyloxy-16 beta-hydroxylup-20(29)-ene (2), were isolated as cytotoxic constituents from the chloroform-soluble extract of the twigs of Celtis philippinensis, along with five known triterpenes, 3beta-O-(E)-feruloylbetulin (3), 3beta-O-(E)-coumaroylbetulin (4), betulin (5), 20-epibryonolic acid (6), and ursolic acid (7). The structures of 1 and 2 were assigned from their 1D and 2D NMR spectroscopic data. All isolates wer",Phytochemistry,"Bang Yeon Hwang, Hee-Byung Chai, Leonardus B S Kardono, Soedarsono Riswan, Norman R Farnsworth, Geoffrey A Cordell, John M Pezzuto, A Douglas Kinghorn"," Program for Collaborative Research in the Pharmaceutical Sciences, College of Pharmacy, University of Illinois at Chicago, Chicago, IL 60612, USA.",2003 Jan;62(2):197-201,10.1016/s0031-9422(02)00520-4
12499082,20030101,article,"xref,mesh","Amyloid beta-Peptides,Cell Death,Ether,Free Radical Scavengers,Gastrodia,Humans,Hydroxyl Radical,Neuroblastoma,Neuroprotective Agents,Plant Extracts,Rhizome,Tumor Cells, Cultured","chemistry,drug effects,metabolism,pathology,pharmacology,toxicity","D010936 Q000737 NN,D018696 Q000737 NN,D031668 Q000737 NY,D016166 Q000737 NN,D016923 Q000187 NN,D018696 Q000494 NY,D009447 Q000473 NY,D010936 Q000494 NY,D016166 Q000494 NN,D016229 Q000633 NY,D027343 Q000737 NN,D017665 Q000378 NN","263,3283,6212","128047904,128530390,129181549",Ethyl ether fraction of Gastrodia elata Blume protects amyloid beta peptide-induced cell death.,"Alzheimer's disease is the most common cause of dementia in the elderly. Recently, it has been reported that Alzheimer's disease is associated with cell death in neuronal cells including the hippocampus. Amyloid beta-peptide stimulates neuronal cell death, but the underlying signaling pathways are poorly understood. In order to develop anti-dementia agents with potential therapeutic value, we examined the effect of the herbal compound Gastrodia elata Blume (GEB) on neuronal cell death induced by amyloid bet",Journal of ethnopharmacology,"Hyeon-Ju Kim, Kwang-Deog Moon, Dong-Seok Lee, Sang-Han Lee"," Department of Food Science and Technology, Kyungpook National University, Taegu 702-701, South Korea.",2003 Jan;84(1):95-8,10.1016/s0378-8741(02)00290-8
14698511,20040101,article,xref,"Acute Disease,Analgesics, Non-Narcotic,Animals,Anti-Inflammatory Agents, Non-Steroidal,Chronic Disease,Inflammation,Male,Mallotus Plant,Phytotherapy,Plant Extracts,Plant Roots,Rats,Rats, Sprague-Dawley","drug therapy,pharmacology,therapeutic use","D007249 Q000188 NN,D010936 Q000494 NN,D010936 Q000627 NN,D000894 Q000494 NY,D000894 Q000627 NN,D018712 Q000627 NN,D018712 Q000494 NY",6212,128047904,Anti-inflammatory and analgesic activities of Mallotus spodocarpus Airy shaw.,"The chloroform extract from the roots of Mallotus spodocarpus was investigated for anti-inflammatory and analgesic activities in animal models. In acute inflammatory models, the extract significantly inhibited ethyl phenylpropiolate-induced ear edema and carrageenin- and arachidonic acid-induced hind paw edema in rats. In the chronic inflammatory model using the cotton pellet-induced granuloma in rats, the extract exhibited inhibitory activity on the formation of granuloma. The extract also elicited pronoun",Journal of ethnopharmacology,"S Intahphuak, A Panthong, D Kanjanapothi, T Taesotikul, C Krachangchaeng, V Reutrakul"," Department of Pharmacology, Faculty of Medicine, Chiang Mai University, Chiang Mai 50200, Thailand.",2004 Jan;90(1):69-72,10.1016/j.jep.2003.09.026
14977448,20030101,article,"xref,mesh","Animals,Antioxidants,Ascorbic Acid,Blood Glucose,Catalase,Diabetes Mellitus, Experimental,Disease Models, Animal,Glutathione,Glutathione Peroxidase,Glutathione Transferase,Insulin,Lipid Peroxidation,Liver,Male,Oxidative Stress,Plant Extracts,Random Allocation,Rats,Rats, Wistar,Scoparia,Superoxide Dismutase,Vitamin E","blood,chemistry,drug effects,drug therapy,enzymology,metabolism,pharmacology,prevention &amp; control,therapeutic use","D036721 Q000737 NY,D001205 Q000378 NN,D000975 Q000378 NY,D005979 Q000378 NN,D001786 Q000378 NY,D008099 Q000201 NN,D014810 Q000378 NN,D010936 Q000627 NN,D003921 Q000188 NY,D008099 Q000378 NN,D018384 Q000187 NY,D005982 Q000378 NN,D010936 Q000494 NY,D003921 Q000517 NN,D015227 Q000187 NY,D005978 Q000378 NN,D007328 Q000097 NN,D013482 Q000378 NN,D002374 Q000378 NN","5793,6212,14985,29327,124886,5176753,23667548,54670067,54682511,70678557,86763295,101033550,118984375","128047904,128423325,129192846,129621433,135758261",Modulatory effect of Scoparia dulcis in oxidative stress-induced lipid peroxidation in streptozotocin diabetic rats.,"In light of evidence that diabetes mellitus is associated with oxidative stress and altered antioxidant status, we investigated the effect of Scoparia dulcis plant extracts (SPEt) (aqueous, ethanolic, and chloroform) in streptozotocin diabetic rats. Significant increases in the activities of insulin, superoxide dismutase, catalase, glutathione peroxidase, glutathione-S-transferase, reduced glutathione, vitamin C, and vitamin E were observed in liver, kidney, and brain on treatment with SPEt. In addition, th",Journal of medicinal food,"M Latha, L Pari"," Department of Biochemistry, Faculty of Science, Annamalai University, Annamalai Nagar, Tamil Nadu, India.",2003 Jan;6(4):379-86,10.1089/109662003772519958
15036464,20040301,article,xref,"Administration, Topical,Animals,Anti-Inflammatory Agents,Antioxidants,Edema,Flavonoids,Inflammation,Mice,Phytotherapy,Plant Extracts,Plant Leaves,Triterpenes","chemically induced,drug therapy,isolation &amp; purification,pharmacology","D000893 Q000494 NY,D005419 Q000494 NY,D005419 Q000302 NN,D014315 Q000302 NN,D000975 Q000302 NN,D004487 Q000188 NN,D014315 Q000494 NY,D000893 Q000302 NN,D010936 Q000494 NY,D000975 Q000494 NY,D007249 Q000188 NY,D004487 Q000139 NN",6212,128047904,In vivo topical anti-inflammatory and in vitro antioxidant activities of two extracts of Thymus satureioides leaves.,"Four extracts at increasing polarity were prepared from the leaves of Thymus satureioides Coss. (Labiatae) and assayed for the in vivo topical anti-inflammatory effect using the croton oil ear test in mice, and for in vitro both antioxidant (DPPH degrees test) and anti-bacterial (broth microdilution method) activities. The chloroform extract showed a topical anti-inflammatory activity (ID50=282 microg cm(-2)), only three times lower than that of the reference drug indomethacin (ID50=93 microg cm(-2)) and it",Journal of ethnopharmacology,"H Ismaili, L Milella, S Fkih-Tetouani, A Ilidrissi, A Camporese, S Sosa, G Altinier, R Della Loggia, R Aquino"," Faculté de Médecine et Pharmacie, Université Mohammed V, Rabat, Morocco.",2004 Mar;91(1):31-6,10.1016/j.jep.2003.11.013
15041718,20040315,article,xref,"Apoptosis,Base Sequence,CARD Signaling Adaptor Proteins,Cell Line, Tumor,Cell Survival,Cytoskeletal Proteins,DNA Methylation,DNA Primers,DNA, Neoplasm,Female,Gene Silencing,Histone Deacetylases,Humans,Ovarian Neoplasms,Proteins,Restriction Mapping","genetics,pathology","D010051 Q000235 NY,D004273 Q000235 NN,D017209 Q000235 NN,D010051 Q000473 NN,D002470 Q000235 NN,D006655 Q000235 NN,D003598 Q000235 NY,D011506 Q000235 NY",451668,129662076,Epigenetic inactivation of TMS1/ASC in ovarian cancer.,"PURPOSE: The purpose of this work was to explore the role of epigenetic inactivation of apoptotic pathways in ovarian cancer by examining the DNA methylation and expression status of four proapoptotic genes in primary ovarian cancers and cancer cell lines and to correlate those findings with the clinicopathological features of ovarian cancer patients. EXPERIMENTAL DESIGN: Genomic DNA was isolated from 15 ovarian cancer cell lines, 80 primary ovarian cancer specimens, and 4 normal ovary specimens using pheno",Clinical cancer research : an official journal of the American Association for Cancer Research,"Katsuhiko Terasawa, Satoru Sagae, Minoru Toyota, Kuniko Tsukada, Kazuhiro Ogi, Ayumi Satoh, Hiroaki Mita, Kohzoh Imai, Takashi Tokino, Ryuichi Kudo"," Departments of Obstetrics and Gynecology, Sapporo Medical University, Sapporo, Japan. kterasaw@sapmed.ac.jp",2004 Mar;10(6):2000-6,10.1158/1078-0432.ccr-0932-03
15474415,20041114,article,"xref,mesh","Aflatoxin B1,Anti-Infective Agents,Antimutagenic Agents,Biphenyl Compounds,Escherichia coli,Free Radical Scavengers,Free Radicals,Hydrazines,Hydroxybenzoates,Mutagenicity Tests,Myrtus,Nitrofurans,Picrates,Plant Extracts,Plant Leaves,SOS Response (Genetics)","anatomy &amp; histology,chemistry,drug effects,genetics,metabolism,pharmacology","D000890 Q000494 NN,D010936 Q000737 NN,D016587 Q000494 NY,D004926 Q000235 NN,D016587 Q000378 NN,D010936 Q000378 NN,D031651 Q000737 NY,D004926 Q000187 NN,D009581 Q000494 NN,D010936 Q000494 NY,D001713 Q000378 NN,D016166 Q000378 NN,D016587 Q000737 NN,D006834 Q000378 NN,D062385 Q000494 NN,D031651 Q000033 NN,D016604 Q000494 NN,D005609 Q000378 NY,D018515 Q000737 NN","6212,7095,8058,8857,13764,14403,186907,2735032,5337997","128047904,129491807,129677094,129777585,129957312",Anti-genotoxic and free-radical scavenging activities of extracts from (Tunisian) Myrtus communis.,"The effect of extracts from leaves of Myrtus communis on the SOS reponse induced by Aflatoxin B1 (AFB1) and Nifuroxazide was investigated in a bacterial assay system, i.e. the SOS chromotest with Escherichia coli PQ37. Aqueous extract, the total flavonoids oligomer fraction (TOF), hexane, chloroform, ethyl acetate and methanol extracts and essential oil obtained from M. communis significantly decreased the SOS response induced by AFB1 (10 microg/assay) and Nifuroxazide (20 microg/assay). Ethyl acetate and m",Mutation research,"N Hayder, A Abdelwahed, S Kilani, R Ben Ammar, A Mahmoud, K Ghedira, L Chekir-Ghedira"," Laboratoire de Biochimie et de Biologie Moléculaire, Faculté de Pharmacie de Monastir, Rue Avicenne, 5000 Monastir, Tunisie.",2004 Nov;564(1):89-95,10.1016/j.mrgentox.2004.08.001
15735161,20050301,article,mesh,"Adult,Aged,Aged, 80 and over,Base Pair Mismatch,Carcinoma, Squamous Cell,Chromosome Aberrations,DNA Repair,DNA, Neoplasm,Esophageal Neoplasms,Esophagectomy,Female,Genetic Predisposition to Disease,Humans,Loss of Heterozygosity,Male,Microsatellite Repeats,Middle Aged,Polymerase Chain Reaction","genetics,methods,pathology,surgery","D002294 Q000601 NN,D020137 Q000235 NN,D018895 Q000235 NN,D004260 Q000235 NY,D004938 Q000235 NY,D016133 Q000379 NN,D004938 Q000601 NN,D004273 Q000235 NY,D004938 Q000473 NN,D002294 Q000473 NN,D002294 Q000235 NY",NULL,NULL,Aberrations in the mismatch repair genes and the clinical impact on oesophageal squamous carcinomas from a high incidence area in South Africa.,"AIMS: To investigate the incidence of genetic aberrations in the DNA repair genes in a cohort of oesophageal cancers. METHODS: One hundred oesophagectomy samples of squamous cell carcinoma were studied. Normal and tumour DNA were isolated using a standard phenol/chloroform extraction procedure. Six recommended microsatellite loci with high informativity were analysed. The following markers were used: D2S123 (2p), D3S659 (3p), D3S1255 (3p), Bat 25 (4q), Bat 26 (2p), and Bat 40 (1p). The results were analysed",Journal of clinical pathology,"R Naidoo, A Ramburan, A Reddi, R Chetty"," Pfizer Molecular Biology Research Facility, Doris Duke Medical Research Institute, Nelson R Mandela School of Medicine, Faculty of Health Science, University of KwaZulu Natal, Private Bag 7, Congella 4013, Durban, South Africa. Naidoor@ukzn.ac.za",2005 Mar;58(3):281-4,10.1136/jcp.2003.014290
15786725,20050101,article,"xref,mesh","Animals,Antioxidants,Asteraceae,Chemical and Drug Induced Liver Injury,Galactosamine,Glutathione Transferase,Lipid Peroxidation,Lipopolysaccharides,Liver,Male,Oxidative Stress,Oxidoreductases,Plant Extracts,Rats,Rats, Wistar,Thiobarbituric Acid Reactive Substances","analysis,chemistry,drug effects,drug therapy,enzymology,metabolism,pharmacology,therapeutic use","D008099 Q000737 NN,D056486 Q000378 NN,D010088 Q000378 NN,D008099 Q000187 NY,D010936 Q000494 NN,D008099 Q000201 NN,D000975 Q000378 NN,D018384 Q000187 NN,D010936 Q000627 NN,D015227 Q000187 NN,D005982 Q000378 NN,D019659 Q000737 NY,D000975 Q000627 NY,D000975 Q000032 NN,D017392 Q000032 NN,D056486 Q000188 NY,D005982 Q000032 NN,D010088 Q000032 NN","6212,24154,124886,1268265,2794221","128047904,128643095,129192846,129287822,245732780",Effect of Tridax procumbens on liver antioxidant defense system during lipopolysaccharide-induced hepatitis in D-galactosamine sensitised rats.,The present study was carried out to assess the effect of chloroform insoluble fraction of ethanolic extract of Tridax procumbens (TP) against D-Galactosamine/Lipopolysaccharide (D-GalN/LPS)-induced hepatitis in rats. Induction of rats with D-GalN/LPS (300 mg/kg body weight/30 microg/kg body weight) led to a marked increase in lipid peroxidation as measured by thiobarbituric acid reactive substances (TBARS) in liver. Further there was a decline in the activities of enzymic antioxidants such as superoxide di,Molecular and cellular biochemistry,"Vilwanathan Ravikumar, Kanchi Subramanian Shivashangari, Thiruvengadam Devaki"," Department of Biochemistry, University of Madras, Guindy Campus, Chennai, India.",2005 Jan;269(?):131-6,10.1007/s11010-005-3443-z
15844994,20050429,article,xref,NULL,NULL,NULL,"6212,6351","128047904,128549565",Electrophilic cleavage of cyclopropylmethystannanes: an experimental comparison of sigma-sigma and sigma-pi conjugation.,"[reaction: see text] Cyclopropylmethyltrimethylstannanes undergo electrophilic cyclopropane cleavage in chloroform with simple inorganic electrophiles (H(+), SO(2), I(2)) in a homologous reaction to the S(E)' cleavage of allylic stannanes. The sigma-sigma conjugation between the carbon-tin bond and cyclopropane orbitals observed spectroscopically in the parent cyclopropylmethyltrimethylstannane is responsible for a rate enhancement of ca. 10(2) toward iodinolysis, relative to comparable alkyl stannanes. Thi",The Journal of organic chemistry,"Andrew J Lucke, David J Young"," School of Science, Griffith University, Nathan 4111, Brisbane, Australia.",2005 Apr;70(9):3579-83,10.1021/jo047822p
16013455,20050501,article,xref,"Animals,Antioxidants,DNA Damage,Gamma Rays,Iron Chelating Agents,Lipid Peroxidation,Liver,Male,Mice,Mice, Inbred A,Oxidative Stress,Plant Extracts,Plants, Medicinal,Podophyllum,Radiation-Protective Agents,Rhizome","chemistry,drug effects,pharmacology,radiation effects","D015227 Q000528 NN,D008099 Q000528 NN,D004249 Q000528 NN,D007502 Q000494 NY,D015227 Q000187 NN,D004249 Q000187 NN,D010936 Q000494 NY,D011837 Q000494 NY,D000975 Q000494 NY,D027343 Q000737 NN,D008099 Q000187 NN,D011035 Q000737 NY","702,1474,6212,8058,5280343","128047904,128482492,129116523,129157877,129491807",Antioxidant activity of fractionated extracts of rhizomes of high-altitude Podophyllum hexandrum: role in radiation protection.,"Whole extract of rhizomes of Podophyllum hexandrum has been reported earlier by our group to render whole-body radioprotection. High-altitude P. hexandrum (HAPH) was therefore fractionated using solvents of varying polarity (non-polar to polar) and the different fractions were designated as, n-hexane (HE), chloroform (CE), alcohol (AE), hydro-alcohol (HA) and water (WE). The total polyphenolic content (mg% of quercetin) was determined spectrophotometrically, while. The major constituents present in each fra",Molecular and cellular biochemistry,"Raman Chawla, Rajesh Arora, Raj Kumar, Ashok Sharma, Jagdish Prasad, Surendar Singh, Ravinder Sagar, Pankaj Chaudhary, Sandeep Shukla, Gurpreet Kaur, Rakesh Kumar Sharma, Satish Chander Puri, Kanaya Lal Dhar, Geeta Handa, Vinay Kumar Gupta, Ghulam Nabi Qazi"," Division of Radiopharmaceuticals and Radiation Biology, Institute of Nuclear Medicine and Allied Sciences, New Delhi, India.",2005 May;273(?):193-208,10.1007/s11010-005-0821-5
