17655273,20070901,article,"xref,mesh","Acrolein,Amino Acid Sequence,Binding Sites,Enzyme Activation,Humans,Kinetics,Molecular Sequence Data,Protein Tyrosine Phosphatase, Non-Receptor Type 1,Spectrometry, Mass, Electrospray Ionization,Structure-Activity Relationship,Time Factors",chemistry,"D054562 Q000737 NY,D000171 Q000737 NY","177,527,5862,6057,7847,7860,20138,30819,61020,61671,54499104","53789692,53790718,127716469,128056944,128180287,128478271,128614243,128676645,128865459,129225032,129742316,129770500",Kinetics and mechanism of protein tyrosine phosphatase 1B inactivation by acrolein.,"Human cells are exposed to the electrophilic alpha,beta-unsaturated aldehyde acrolein from a variety of sources. The reaction of acrolein with functionally critical protein thiol residues can yield important biological consequences. Protein tyrosine phosphatases (PTPs) are an important class of cysteine-dependent enzymes whose reactivity with acrolein previously has not been well-characterized. These enzymes catalyze the dephosphorylation of phosphotyrosine residues on proteins via a phosphocysteine interme",Chemical research in toxicology,"Derrick R Seiner, Jason N LaButti, Kent S Gates"," Department of Chemistry, University of Missouri, Columbia, MO 65211, USA. gatesk@missouri.edu",2007 Sep;20(9):1315-20,10.1021/tx700213s
7523926,19941001,article,mesh,"Acrolein,Acrylonitrile,Aldehydes,Biotransformation,Mutagenicity Tests,Mutagens,SOS Response (Genetics),Salmonella typhimurium","analogs &amp; derivatives,drug effects,pharmacokinetics,toxicity","D000171 Q000493 NN,D000181 Q000031 NN,D000181 Q000493 NN,D000447 Q000633 NN,D000181 Q000633 NY,D000171 Q000031 NN,D009153 Q000493 NN,D000171 Q000633 NY,D012486 Q000187 NN,D009153 Q000633 NY","7847,7855,26969,70198,146032,560790,5355510",NULL,Genotoxicity of 2-halosubstituted enals and 2-chloroacrylonitrile in the Ames test and the SOS-chromotest.,"2-Chloroacrolein and 2-bromoacrolein are very potent direct mutagens not requiring metabolic activation in Salmonella typhimurium strains TA 100 and TA 1535. Mutagenic activities decrease with increasing degree of methyl substitution at carbon atom C-3 of the acrolein moiety from 2-chloroacrolein via 2-chlorocrotonaldehyde to 2-chloro-3,3-dimethylacrolein. With 2-chloroacrylonitrile equivocal results are obtained in strain TA 100 without S9-mix and unequivocal with S9-mix. In the SOS-chromotest the 2-chloro",Mutation research,"E Eder, C Deininger, D Deininger, E Weinfurtner"," Institute of Pharmacology and Toxicology, University of Würzburg, Germany.",1994 Oct;322(4):321-8,10.1016/0165-1218(94)90108-2
8951232,19961201,article,mesh,"7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide,Acrolein,Anticarcinogenic Agents,Chemical Phenomena,Chemistry, Physical,Cisplatin,Kinetics,Melphalan,Nitroso Compounds,Purines,Toxins, Biological,Uric Acid","analogs &amp; derivatives,chemistry","D014527 Q000031 NY,D002945 Q000737 NN,D015123 Q000737 NN,D014527 Q000737 NN,D016588 Q000737 NY,D000171 Q000737 NN,D011687 Q000737 NY,D009603 Q000737 NN,D008558 Q000737 NN,D014118 Q000737 NY","1175,4053,7847,20189,41322,84691,441203,460612,1268252,3246111,16220071,23688907,23690430,23697816,23703375,23715168,24884447,91886507,101017836,102602221",NULL,"Kinetics of the reaction of a potential chemopreventive agent, 2,6-dithiopurine, and its major metabolite, 2,6-dithiouric acid, with multiple classes of electrophilic toxicants.","Purinethiols are a class of potential cancer chemopreventive agents that exhibit nucleophilic scavenging activity against the carcinogenic electrophile benzo[a]pyrene diol epoxide (BPDE). Of the purinethiols tested previously, 2,6-dithiopurine (DTP), exhibited the highest scavenging activity for BPDE when tested either in vitro or in vivo. Sulfur-based nucleophiles are typically classified as ""soft"" nucleophiles, showing selectivity in nucleophilic substitution reactions for ""soft"", easily polarizable elect",Chemical research in toxicology,"W G Qing, K L Powell, M C MacLeod"," Department of Carcinogenesis, University of Texas M. D. Anderson Cancer Center, Smithville 78957, USA.",1996 Dec;9(8):1298-304,10.1021/tx960088n
10803710,20000401,article,"xref,mesh","Acrolein,Alkylation,Animals,Antineoplastic Agents, Alkylating,Biotransformation,Cell Division,Cyclophosphamide,Cysteine,Disease Progression,Drug Interactions,Drug Screening Assays, Antitumor,Female,Glutathione,Leukopenia,Liver Neoplasms,Melanoma, Experimental,Mice,Mice, Inbred C57BL,Oxidation-Reduction,Prodrugs,Pyrrolidonecarboxylic Acid,Thiazoles,Thiazolidines","chemically induced,drug effects,drug therapy,metabolism,pharmacokinetics,prevention &amp; control,secondary,therapeutic use,toxicity","D000171 Q000493 NN,D007970 Q000517 NY,D002455 Q000187 NN,D013844 Q000493 NN,D008113 Q000556 NY,D013844 Q000627 NY,D000478 Q000187 NN,D008113 Q000188 NN,D000171 Q000633 NN,D011355 Q000627 NY,D003520 Q000633 NY,D008546 Q000556 NY,D018906 Q000633 NY,D007970 Q000139 NN,D005978 Q000378 NN,D018906 Q000493 NN,D011355 Q000493 NN,D003545 Q000493 NN,D008546 Q000188 NN,D003520 Q000493 NN","499,594,2907,5862,7405,7847,22420,25150,65272,72390,92851,124886,439685,14559042,18601084,22476743,53395091,131847225","53787794,53790718",Effects of L-2-oxothiazolidine-4-carboxylate on the cytotoxic activity and toxicity of cyclophosphamide in mice bearing B16F10 melanoma liver metastases.,"Glutathione (GSH) is the major non-protein thiol in cells that plays a critical role against damage from electrophilic agents such as alkylating drugs. Selective therapeutic GSH elevation in normal but not in tumour cells has been suggested as a means of protecting host tissues against more intense doses of chemotherapy. The present study investigated the response of B16 melanoma to treatment with the cysteine pro-drug L-2-oxothiazolidine-4-carboxylate (OTZ), alone and in combination with cyclophosphamide (",Melanoma research,"M del Olmo, A Alonso-Varona, B Castro, Y Calle, P Bilbao, T Palomares"," Department of Surgery, School of Medicine and Dentistry, University of the Basque Country, Vizcaya, Spain.",2000 Apr;10(2):103-12,NULL
10965797,20000901,article,"xref,mesh","Acrolein,Adult,Aged,Aldehydes,Amyotrophic Lateral Sclerosis,Arginine,Deoxyguanosine,Glycosylation,Humans,Imidazoles,Lipid Peroxidation,Lysine,Male,Middle Aged,Motor Neurons,Oxidative Stress,Spinal Cord,Superoxide Dismutase","analogs &amp; derivatives,genetics,metabolism,pathology,physiopathology","D000447 Q000378 NN,D009046 Q000378 NN,D001120 Q000378 NN,D013116 Q000503 NN,D008239 Q000031 NY,D003849 Q000031 NY,D013116 Q000473 NN,D000171 Q000378 NN,D000690 Q000378 NY,D008239 Q000378 NN,D001120 Q000031 NY,D018384 Q000235 NY,D013116 Q000378 NN,D003849 Q000378 NN,D000690 Q000473 NN,D013482 Q000235 NY,D000690 Q000235 NY,D015227 Q000235 NN,D007093 Q000378 NN,D009046 Q000473 NN","5962,6322,7847,12047,66250,69568,73318,104152,119593,122228,123800,187790,641599,5283344,5287702,135440064","53786827,53787081,53787583,53789293",Nonoxidative protein glycation is implicated in familial amyotrophic lateral sclerosis with superoxide dismutase-1 mutation.,"To assess a role for oxidative stress in the pathogenesis of amyotrophic lateral sclerosis (ALS), we analyzed the immunohistochemical localization of 8-hydroxy2'-deoxyguanosine (OHdG) as a nucleic acid oxidation product, acrolein-protein adduct and 4-hydroxy-2-nonenal (HNE)-protein adduct as lipid peroxidation products, Nepsiloncarboxymethyl-lysine (CML) as a lipid peroxidation or protein glycoxidation product, pentosidine as a protein glycoxidation product, and imidazolone and pyrraline as nonoxidative pro",Acta neuropathologica,"N Shibata, R Nagai, S Miyata, T Jono, S Horiuchi, A Hirano, S Kato, S Sasaki, K Asayama, M Kobayashi"," Department of Pathology, Tokyo Women's Medical University, Japan.",2000 Sep;100(3):275-84,10.1007/s004019900173
11342443,20010515,article,"xref,mesh","Acrolein,Antibodies, Monoclonal,Antigens, CD,Antigens, Differentiation, B-Lymphocyte,Apoptosis,Cell Division,Cell Survival,Coculture Techniques,DNA Fragmentation,Erythrocytes,Humans,Lymphocyte Activation,Monocytes,Oxidative Stress,Phosphatidylserines,Phytohemagglutinins,Reactive Oxygen Species,Receptors, Transferrin,T-Lymphocytes,fas Receptor","analysis,cytology,metabolism,pharmacology,physiology","D013601 Q000502 NY,D010835 Q000494 NN,D000944 Q000032 NN,D010718 Q000378 NN,D004912 Q000502 NY,D017382 Q000378 NN,D019014 Q000032 NN,D000171 Q000378 NN,D009000 Q000502 NN,D013601 Q000166 NN,D015703 Q000032 NN,D000911 Q000494 NN","7847,6323481","128056944,245283296",Red blood cells inhibit activation-induced cell death and oxidative stress in human peripheral blood T lymphocytes.,"Red blood cells (RBCs) are known to perform one prominent function: to carry and deliver oxygen to the tissues. Earlier studies, however, suggested a role for RBCs in potentiating T-cell proliferation in vitro. Here it is shown that the presence of RBCs in cultures of stimulated human peripheral blood lymphocytes strengthens T-cell proliferation and survival. Analysis of phosphatidylserine externalization and DNA fragmentation showed that RBCs inhibit T-cell apoptosis. This inhibition correlated with a redu",Blood,"A M Fonseca, G Porto, K Uchida, F A Arosa"," Laboratory of Molecular Immunology, Institute for Molecular and Cell Biology, University of Porto, Portugal.",2001 May;97(10):3152-60,10.1182/blood.v97.10.3152
11382035,20010101,article,"xref,mesh","Acetaldehyde,Acrolein,Chromatography, High Pressure Liquid,DNA,Environmental Pollutants,Formaldehyde,Spectrophotometry, Ultraviolet",metabolism,"D004785 Q000378 NY,D005557 Q000378 NY,D000171 Q000378 NY,D004247 Q000378 NY,D000079 Q000378 NY","177,712,7847,187790,44135672,135398592","127350601,128056944,128180287,129806984",[The bindings of typical aldehydes pollutants with cell DNA].,"The bindings of 3 kinds of aidehyde pollutants, formaldehyde, acetaldehyde, acrolein, with both prokaryotic and eukaryotic DNA, and their genotoxic effect and mechanism were conducted by the shifts of maximum UV absorption peak to determine binding effects and by HPLC to determine binding sites in vitro model system. The shifts of maximum UV absorption peak of prokaryotic DNA contaminated by 3 kinds of aldehyde pollutants are not significant; but after the DNA extracted from prokaryotic bacteria reacting wi",Huan jing ke xue= Huanjing kexue,"Z Xi, S Dai, Y Sun"," College of Environmental Sciences and Engineering, Naikai University, Tianjin 300050, China.",2001 Jan;22(1):19-22,NULL
12813574,20030101,article,"xref,mesh","Acrolein,Aldehydes,DNA Adducts,DNA Damage,Deoxyadenosines,Deoxycytidine,Deoxyguanosine,Lipid Peroxidation","metabolism,physiology","D000447 Q000378 NN,D000171 Q000378 NN,D004249 Q000502 NY,D003849 Q000378 NN,D003839 Q000378 NN,D015227 Q000502 NY,D003841 Q000378 NN","637,6334,7847,10964,13711,20138,156288,187790,447466,135398592","127639621,127679376,128056944,128592556,128614243,129627858,129806984",DNA damage caused by lipid peroxidation products.,"Lipid peroxidation is a process involving the oxidation of polyunsaturated fatty acids (PUFAs), which are basic components of biological membranes. Reactive electrophilic compounds are formed during lipid peroxidation, mainly alpha, beta-unsaturated aldehydes. These compounds yield a number of adducts with DNA. Among them, propeno and substituted propano adducts of deoxyguanosine with malondialdehyde (MDA), acrolein, crotonaldehyde and etheno adducts, resulting from the reactions of DNA bases with epoxy ald",Cellular & molecular biology letters,"Wojciech Łuczaj, Elzbieta Skrzydlewska"," Department of Analytical Chemistry, Medical Academy of Białystok, Mickiewicza 2A, P.O. Box 14, 15-230 Białystok 8, Poland.",2003 Jan;8(2):391-413,NULL
14572263,20031030,article,xref,NULL,NULL,NULL,"177,8029,12176064","128180287,129813428,247167629",Lewis acid-catalyzed [4 + 3] cycloaddition of 2-(trimethyl silyloxy)acrolein with furan. Insight on the nature of the mechanism from a DFT analysis.,[reaction: see text]. The mechanism for the Lewis acid-catalyzed [4 + 3] cycloaddition of 2-(trimethylsilyloxy)acrolein 1 with furan 2 has been studied at the B3LYP/6-31G level. This reaction is a three-step process that is initialized by the nucleophilic attack of 2 to the beta-conjugated position of 1 to give a zwitterionic intermediate IN1. The key step on the formation of the seven-membered ring is the electrophilic attack of the furan residue to the electrophilically activated carbonyl carbon at this i,Organic letters,"José A Sáez, Manuel Arnó, Luis R Domingo"," Instituto de Ciencia Molecular, Universidad de Valencia, Dr. Moliner 50, E-46100 Burjassot, Valencia, Spain.",2003 Oct;5(22):4117-20,10.1021/ol035652h
14583334,20031001,article,"xref,mesh","Acrolein,Animals,Cell Adhesion,Chemotaxis,Humans,Inflammation,Lipid Peroxidation,Macrophages, Alveolar,Mice,Oxidative Stress,Plants, Toxic,Proteins,Pulmonary Disease, Chronic Obstructive,Pulmonary Emphysema,Receptors, Immunologic,Receptors, Scavenger,Smoke,Smoking,Tobacco","adverse effects,biosynthesis,chemically induced,chemistry,cytology,drug effects,etiology,immunology,metabolism,pharmacology","D029424 Q000209 NN,D012907 Q000009 NY,D002633 Q000187 NN,D000171 Q000494 NN,D002448 Q000187 NN,D007249 Q000139 NN,D016676 Q000187 NY,D011656 Q000209 NN,D011971 Q000096 NN,D011971 Q000378 NY,D012906 Q000009 NN,D011506 Q000378 NN,D011506 Q000737 NN,D016676 Q000276 NN,D016676 Q000166 NY,D016676 Q000378 NN","7847,156288","128056944,128592556",Cigarette smoke triggers macrophage adhesion and activation: role of lipid peroxidation products and scavenger receptor.,"Pulmonary emphysema in chronic obstructive pulmonary disease (COPD) is characterized by the destruction of the alveolar walls leading to permanent enlargement of distal respiratory air spaces. A major causal factor is cigarette smoking, which produces conditions of chronic oxidative stress within the lungs. At a cellular level, increased macrophage accumulation and retention within the alveolar interstitial spaces is pivotal to the development of emphysema. To date it has been unclear as to the underlying m",Free radical biology & medicine,"Paul A Kirkham, Gillian Spooner, Claire Ffoulkes-Jones, Ronan Calvez"," Novartis HRC, Horsham, West Sussex, England, UK. paul.kirkham@pharma.novartis.com",2003 Oct;35(7):697-710,10.1016/s0891-5849(03)00390-3
14670011,20030901,article,"xref,mesh","Acrolein,Antioxidants,Carrier Proteins,Child,Child, Preschool,Female,Humans,Isoprostanes,Leukemia,Leukocytes,Lipid Peroxidation,Male,Oxidative Stress,Reverse Transcriptase Polymerase Chain Reaction,alpha-Tocopherol","analysis,biosynthesis,metabolism,physiology","D028421 Q000378 NN,D007962 Q000378 NY,D000975 Q000378 NN,D002352 Q000096 NY,D028421 Q000032 NN,D000171 Q000378 NN,D024502 Q000378 NY,D007938 Q000378 NY,D000171 Q000032 NN,D000975 Q000032 NN,D015227 Q000502 NN,D024502 Q000032 NN","231,2117,7847,14985,86472,425400,443968,11305985","128011809,128056944,129872283",Alpha-tocopherol content and alpha-tocopherol transfer protein expression in leukocytes of children with acute leukemia.,"Alpha-tocopherol (a form of vitamin E) is a fat-soluble vitamin that can prevent lipid peroxidation of cell membranes. This antioxidant activity of alpha-tocopherol can help to prevent cardiovascular disease, atherosclerosis and cancer. We investigated the alpha-tocopherol level and the expression of alpha-tocopherol transfer protein (alpha-TTP) in the leukocytes of children with leukemia. The plasma and erythrocyte alpha-tocopherol levels did not differ between children with leukemia and the control group.",Free radical research,"Kiryo Misaki, Kimitaka Takitani, Tohru Ogihara, Akiko Inoue, Chihiro Kawakami, Tomoko Kuno, Naohisa Kawamura, Munenori Miyake, Toshimasa Nakagawa, Hiroshi Tamai"," Department of Pediatrics, Osaka Medical College, 2-7 Daigakumachi, Takatsuki, Osaka 569-8686, Japan.",2003 Sep;37(9):1037-42,10.1080/10715760310001600426
15193774,20040520,article,"xref,mesh","Acetic Acid,Acrolein,Air Pollutants,Animals,Female,Inhalation,Mice,Mice, Inbred C57BL,Mice, Knockout,Receptors, Drug,Styrene","deficiency,drug effects,genetics,pharmacology,physiology","D000171 Q000494 NN,D001239 Q000187 NY,D011955 Q000235 NN,D001239 Q000502 NN,D020058 Q000494 NN,D011955 Q000172 NN,D019342 Q000494 NN,D000393 Q000494 NY,D011955 Q000502 NY","176,7501,7847,16219535","128056944,128947937,129071275,243548845",Lack of role for the vanilloid receptor in response to several inspired irritant air pollutants in the C57Bl/6J mouse.,"Sensory irritants initiate respiratory reflexes by stimulating trigeminal sensory nerves. The vanilloid receptor (TRPV1) is expressed on sensory C fibers. The current experiments were aimed at examining the role of this receptor in mediating responses to several airborne irritants including an acidic (acetic acid), electrophilic (acrolein), and lipophilic solvent (styrene) vapor. Wild-type (C57Bl/6J) and VR1 knockout [B6.129S4-VR1(tm1jul)] mice were exposed to these irritants and breathing pattern responses",Neuroscience letters,"Peter T Symanowicz, Gerald Gianutsos, John B Morris"," University of Connecticut Pulmonary Research Consortium, Department of Pharmaceutical Sciences, University of Connecticut, Storrs, CT 06269-2092, USA.",2004 May;362(2):150-3,10.1016/j.neulet.2004.03.016
15628467,20041101,article,"xref,mesh","Acrolein,Biomarkers,Humans,Oxidative Stress",analysis,"D000171 Q000032 NY,D015415 Q000032 NY",7847,128056944,[Acrolein].,NULL,Nihon rinsho. Japanese journal of clinical medicine,"Nobuo Sakura, Satoshi Takamoto"," Department of Pediatrics, Hiroshima University Graduate School of Biomedical Sciences.",2004 Nov;?(?):535-6,NULL
15744744,20050601,article,"xref,mesh","Acrolein,Aldehydes,Animals,Animals, Genetically Modified,Biomarkers,Cell Communication,Cell Death,Cell Survival,DNA Damage,Disease Models, Animal,Hyperoxia,Immunohistochemistry,Lipid Peroxidation,Nerve Degeneration,Oxidative Stress,Retinal Cone Photoreceptor Cells,Retinal Rod Photoreceptor Cells,Retinitis Pigmentosa,Sus scrofa","genetics,metabolism,pathology,physiology,physiopathology","D000447 Q000378 NN,D004249 Q000502 NN,D017948 Q000473 NN,D009410 Q000378 NY,D009410 Q000235 NN,D017949 Q000378 NY,D018496 Q000235 NN,D000171 Q000378 NN,D018496 Q000378 NN,D016923 Q000502 NN,D018384 Q000502 NY,D002450 Q000502 NN,D012174 Q000378 NY,D018496 Q000503 NN,D002470 Q000502 NN,D012174 Q000503 NN,D017949 Q000473 NN,D009410 Q000503 NN,D012174 Q000235 NN,D015227 Q000502 NN,D015415 Q000378 NN,D017948 Q000378 NN","1070,7847,5283344,91127900","128056944,128684338,245795304",Oxidative damage is a potential cause of cone cell death in retinitis pigmentosa.,"Retinitis pigmentosa (RP) is a prevalent cause of blindness caused by a large number of different mutations in many different genes. The mutations result in rod photoreceptor cell death, but it is unknown why cones die. In this study, we tested the hypothesis that cones die from oxidative damage by performing immunohistochemical staining for biomarkers of oxidative damage in a transgenic pig model of RP. The presence of acrolein- and 4-hydroxynonenal-adducts on proteins is a specific indicator that lipid pe",Journal of cellular physiology,"Jikui Shen, Xiaoru Yang, Aling Dong, Robert M Petters, You-Wei Peng, Fulton Wong, Peter A Campochiaro"," Department of Ophthalmology, Johns Hopkins University School of Medicine, Baltimore, Maryland 21287-9277, USA.",2005 Jun;203(3):457-64,10.1002/jcp.20346
15910882,20050601,article,"xref,mesh","Acetylcysteine,Acrolein,Allylamine,Animals,Aorta,Blotting, Western,Cluster Analysis,Cytoskeleton,Dinoprost,Dose-Response Relationship, Drug,Gene Expression Regulation,Genome,Glutathione,Humans,Hydrogen Peroxide,Image Processing, Computer-Assisted,In Situ Hybridization, Fluorescence,Integrin alpha1,Integrins,Male,Microscopy, Fluorescence,NF-kappa B,Oligonucleotide Array Sequence Analysis,Osteopontin,Oxidants,Oxidative Stress,Oxygen,RNA,Rats,Rats, Sprague-Dawley,Reactive Oxygen Species,Reverse Transcriptase P","analogs &amp; derivatives,biosynthesis,chemistry,metabolism,pharmacology","D012795 Q000378 NN,D012313 Q000378 NN,D014335 Q000378 NN,D000171 Q000494 NN,D016877 Q000494 NY,D010100 Q000378 NN,D000171 Q000378 NN,D016328 Q000378 NN,D003599 Q000378 NN,D000111 Q000378 NN,D016877 Q000378 NN,D015237 Q000031 NN,D000499 Q000378 NN,D001011 Q000378 NN,D039423 Q000378 NN,D006861 Q000378 NN,D006861 Q000494 NN,D015237 Q000096 NN,D014335 Q000737 NN,D005978 Q000378 NN,D000499 Q000494 NN,D016023 Q000378 NN","784,977,7847,7853,11081,12035,107873,124886,5280363,5280886,5282263,5283078,11963529,12114682,20849107,23678798,44208919,71312086","53788930,53790503,53790587,128056944,128977994,128981555,129192846,129532527",Novel genomic targets in oxidant-induced vascular injury.,"To study the complex interaction between oxidative injury and the pathogenesis of vascular disease, vascular gene expression was examined in male Sprague-Dawley rats given 35 or 70 mg/kg allylamine, a synthetic amine converted to acrolein and hydrogen peroxide within the vascular wall. Vascular lesions and extensive vascular remodeling, coupled to increased production of 8-epi-PGF2alpha, nuclear localization of NFkappaB, and alterations in glutathione homeostasis, were observed in animals treated with allyl",Journal of molecular and cellular cardiology,"C R Partridge, E S Williams, R Barhoumi, M G Tadesse, C D Johnson, K P Lu, G A Meininger, E Wilson, K S Ramos"," Department of Veterinary Physiology and Pharmacology, Texas A&M University, College Station, 77843, USA.",2005 Jun;38(6):983-96,10.1016/j.yjmcc.2005.03.006
16267254,20051101,article,"xref,mesh","Acrolein,Aldehydes,Animals,Aorta,Cattle,Cell Line,Cell Survival,Cells, Cultured,Formaldehyde,Glutathione,Glutathione Disulfide,Humans,Hydrogen Peroxide,Muscle, Smooth, Vascular,Myocardial Infarction,Neutrophils,Peroxidase,Pulmonary Artery,Ventricular Remodeling","drug effects,metabolism,pathology,pharmacology,physiology,toxicity","D009203 Q000473 NY,D011651 Q000187 NN,D002470 Q000187 NN,D020257 Q000502 NY,D009195 Q000378 NY,D019803 Q000378 NN,D009504 Q000502 NN,D000447 Q000494 NN,D009131 Q000502 NY,D020257 Q000187 NN,D006861 Q000494 NN,D009131 Q000187 NN,D005978 Q000378 NN,D000171 Q000633 NY,D011651 Q000502 NY,D005557 Q000633 NY","712,750,784,6288,7847,65359,124886,156288,5283344,11973707","127476202,127735632,128056944,128592556,129192846,129831439",Myeloperoxidase-generated oxidants modulate left ventricular remodeling but not infarct size after myocardial infarction.,"BACKGROUND: Inflammation after myocardial infarction (MI) heralds worse left ventricular (LV) function and clinical outcomes. However, whether inflammation affects LV function by extending myonecrosis and/or altering LV remodeling remains unknown. We hypothesized that cytotoxic aldehydes generated during oxidative stress may adversely affect remodeling and infarct size. One theoretical source of reactive aldehydes is oxidation of common alpha-amino acids by myeloperoxidase (MPO) released by leukocytes. Howe",Circulation,"Nikolay Vasilyev, Timothy Williams, Marie-Luise Brennan, Samuel Unzek, Xiaorong Zhou, Jay W Heinecke, Douglas R Spitz, Eric J Topol, Stanley L Hazen, Marc S Penn"," Department of Cell Biology, Cleveland Clinic Foundation, Cleveland, OH 44195, USA.",2005 Nov;112(18):2812-20,10.1161/circulationaha.105.542340
16538519,20060501,article,"xref,mesh","Acrolein,Aged,Aged, 80 and over,Aldehydes,Alzheimer Disease,Astrocytes,Brain,Female,Humans,Lipid Peroxidation,Male,Middle Aged,Neuroglia,Oxidative Stress","etiology,metabolism,pathology","D009457 Q000473 NN,D009457 Q000378 NY,D000544 Q000209 NN,D000171 Q000378 NN,D000447 Q000378 NY,D000544 Q000378 NY,D000544 Q000473 NN,D001921 Q000473 NN,D001253 Q000473 NN,D001921 Q000378 NY,D001253 Q000378 NN","7847,20138,156288,447466,5283344,71360367","53788937,128056944,128592556,128614243,248186316",Crotonaldehyde accumulates in glial cells of Alzheimer's disease brain.,"Several studies have documented the involvement of oxidative stress represented by lipid peroxidation in the pathogenesis of Alzheimer's disease (AD). To test whether the highly reactive carbonyl crotonaldehyde (CRA), generated during lipid peroxidation, is involved in AD, we performed an immunohistochemical analysis in AD and age-matched control hippocampi using a specific antibody against protein-bound CRA (P-CRA). In the AD cases, P-CRA immunoreactivity was preferentially localized in reactive astrocytes",Acta neuropathologica,"Motoko Kawaguchi-Niida, Noriyuki Shibata, Shunichi Morikawa, Koji Uchida, Tomoko Yamamoto, Tatsuo Sawada, Makio Kobayashi"," Department of Surgical Pathology, Tokyo Women's Medical University, 162-8666, Tokyo, Japan. m-kawa@research.twmu.ac.jp",2006 May;111(5):422-9,10.1007/s00401-006-0044-1
16564016,20060324,article,"xref,mesh","Acrolein,Animals,Cold Temperature,Evoked Potentials, Auditory, Brain Stem,Garlic,Inflammation,Inhalation Exposure,Mice,Mice, Knockout,Molecular Structure,Nociceptors,Pain,TRPA1 Cation Channel,Thermoreceptors,Transient Receptor Potential Channels","drug effects,genetics,immunology,metabolism,physiology,toxicity","D009619 Q000276 NY,D000171 Q000633 NN,D050051 Q000235 NY,D050051 Q000378 NN,D007249 Q000276 YN,D013823 Q000502 NN,D050051 Q000187 NY,D009619 Q000187 NN",7847,"128056944,135649892",TRPA1 mediates the inflammatory actions of environmental irritants and proalgesic agents.,"TRPA1 is an excitatory ion channel targeted by pungent irritants from mustard and garlic. TRPA1 has been proposed to function in diverse sensory processes, including thermal (cold) nociception, hearing, and inflammatory pain. Using TRPA1-deficient mice, we now show that this channel is the sole target through which mustard oil and garlic activate primary afferent nociceptors to produce inflammatory pain. TRPA1 is also targeted by environmental irritants, such as acrolein, that account for toxic and inflamma",Cell,"Diana M Bautista, Sven-Eric Jordt, Tetsuro Nikai, Pamela R Tsuruda, Andrew J Read, Jeannie Poblete, Ebenezer N Yamoah, Allan I Basbaum, David Julius"," Department of Cellular and Molecular Pharmacology, University of California, San Francisco, San Francisco, CA 94143, USA.",2006 Mar;124(6):1269-82,10.1016/j.cell.2006.02.023
16564645,20060101,article,"xref,mesh","Acrolein,Aldehydes,Biochemistry,Electrochemistry,Electron Transport,Imines,Models, Biological,Models, Chemical,Oxidation-Reduction,Oxidative Stress,Reactive Oxygen Species","chemistry,methods,pharmacology,toxicity","D000171 Q000494 NN,D001671 Q000379 NN,D007097 Q000737 NY,D000171 Q000737 NN,D004563 Q000379 NY,D000447 Q000633 NY","880,7847,20138,156288,216297,5283344,6445537,91127900","127411153,128056944,128592556,128614243,129225027,245795304",Novel electrochemical approach to enhanced toxicity of 4-oxo-2-nonenal vs. 4-hydroxy-2-nonenal (role of imine): oxidative stress and therapeutic modalities.,"Reactive oxygen species (ROS) and oxidative stress (OS) have received increasing attention in connection with illness, disease, and aging. The OS results in widespread attack of body constituents, with unsaturated lipids, leading to hydroperoxides, being a focus of research. Subsequent decomposition yields various functionalized aldehydes, including 4-hydroxy-2-nonenal (HNE). OS linked to HNE is associated with various illnesses. Recently, much attention has been devoted to 4-oxo-2-nonenal (ONE), also a pro",Medical hypotheses,Peter Kovacic," Department of Chemistry, San Diego State University, 5500 Campanile Dr., San Diego, CA 92182-1030, USA. pkovacic@sundown.sdsu.edu",2006 Jan;67(1):151-6,10.1016/j.mehy.2005.10.034
16777730,20060607,article,"xref,mesh","Acrolein,Animals,Biomarkers,Evolution, Molecular,Female,Genetic Variation,Immunity, Innate,Major Histocompatibility Complex,Male,Nematoda,Oxidative Stress,Selection, Genetic,Sex Factors,Smegmamorpha","genetics,immunology,metabolism,parasitology,pathogenicity,physiology","D023701 Q000235 NY,D000171 Q000378 NN,D023701 Q000276 NN,D008285 Q000235 NY,D018384 Q000502 NY,D007113 Q000502 NN,D023701 Q000469 NN,D009348 Q000472 NN",7847,128056944,MHC genes and oxidative stress in sticklebacks: an immuno-ecological approach.,"Individual variation in the susceptibility to infection may result from the varying ability of hosts to specifically recognize different parasite strains. Alternatively, there could be individual host differences in fitness costs of immune defence. Although, these two explanations are not mutually exclusive, they have so far been treated in separate experimental approaches. To analyse potential relationships, we studied body condition and oxidative stress, which may reflect costs of immunity, in three-spine",Proceedings. Biological sciences,"Joachim Kurtz, K Mathias Wegner, Martin Kalbe, Thorsten B H Reusch, Helmut Schaschl, Dennis Hasselquist, Manfred Milinski"," Department of Evolutionary Ecology, Max Planck Institute of Limnology, August-Thienemann-Strasse 2, 24306 Plön, Germany. joachim.kurtz@env.ethz.ch",2006 Jun;273(1592):1407-14,10.1098/rspb.2005.3450
